# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label	X	Y	Z	Yaw	Pitch	Roll	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Yaw_error	Pitch_error	Roll_error	X_est	Y_est	Z_est	Yaw_est	Pitch_est	Roll_est
frame0.png	-0.015510	-1.550768	-0.270397	-18.033043	7.062591	-88.628231	2.182568	-0.522169	1.956506	0.814265	187.321454	65.594794	31.778436	172.559500	-0.537679	0.405738	0.543868	47.561751	38.841027	83.931269
frame11.png	-0.056392	-1.538179	-0.239016	-19.433755	6.510591	-89.128343	2.149283	-0.475699	1.943699	0.784323	188.204758	67.562245	32.242634	172.675379	-0.532091	0.405520	0.545307	48.128490	38.753225	83.547036
frame16.png	-0.063609	-1.532034	-0.237097	-19.741771	6.567731	-89.487915	2.139309	-0.467649	1.932897	0.788579	188.942976	68.087991	32.405609	173.243615	-0.531257	0.400863	0.551482	48.346220	38.973340	83.755700
frame22.png	-0.065942	-1.531584	-0.252915	-19.710701	6.776826	-89.022406	2.145960	-0.461854	1.935166	0.804343	188.349786	68.266673	32.350299	172.536261	-0.527795	0.403582	0.551428	48.555972	39.127125	83.513856
frame27.png	-0.050378	-1.533297	-0.287583	-19.171211	7.595072	-88.611012	2.162327	-0.481516	1.934110	0.838462	187.783312	67.487099	31.387224	172.403323	-0.531894	0.400814	0.550879	48.315887	38.982295	83.792311
frame33.png	-0.016818	-1.576329	-0.317603	-18.489631	7.635494	-87.607782	2.216954	-0.517953	1.976301	0.860723	186.123838	66.762357	30.788554	170.988115	-0.534771	0.399972	0.543120	48.272727	38.424048	83.380333
frame38.png	0.001975	-1.636726	-0.311849	-18.096723	7.278081	-87.771655	2.272737	-0.548379	2.036617	0.846645	186.160403	65.020327	31.247039	171.614904	-0.546403	0.399891	0.534796	46.923604	38.525120	83.843249
frame44.png	0.009417	-1.666005	-0.316329	-17.730535	7.141350	-88.339575	2.311698	-0.578428	2.074493	0.840147	186.914083	60.919263	31.708630	173.839813	-0.569011	0.408488	0.523818	43.188729	38.849980	85.500237
frame50.png	0.008561	-1.648994	-0.315768	-17.301900	6.992366	-88.511153	2.299761	-0.595869	2.056771	0.838768	187.285716	59.869511	32.411611	174.473690	-0.587308	0.407777	0.523000	42.567610	39.403977	85.962537
frame55.png	-0.023961	-1.607251	-0.376991	-17.779479	7.193600	-85.785439	2.273962	-0.569737	2.009229	0.899612	184.699732	61.375313	32.146574	171.212324	-0.593698	0.401978	0.522621	43.595834	39.340174	85.426884
frame61.png	-0.038321	-1.600905	-0.412667	-17.887182	7.611925	-83.689497	2.260568	-0.580202	1.975006	0.934283	185.111547	55.259002	33.531748	173.459936	-0.618522	0.374101	0.521616	37.371819	41.143673	89.770439
frame66.png	-0.048796	-1.616625	-0.453219	-17.967181	8.564126	-83.023560	2.292241	-0.553202	1.996390	0.981204	183.833767	58.502960	32.512494	171.216808	-0.601998	0.379764	0.527985	40.535779	41.076621	88.193248
frame72.png	-0.049194	-1.638902	-0.483174	-18.174559	9.369687	-83.086234	2.320056	-0.571154	2.012299	1.003540	184.382501	55.393813	31.706455	172.983042	-0.620348	0.373397	0.520366	37.219254	41.076142	89.896808
frame77.png	-0.041759	-1.666417	-0.508500	-17.967298	9.412303	-83.265479	2.345499	-0.589993	2.030336	1.015387	184.177153	53.647968	31.011232	173.439969	-0.631752	0.363918	0.506887	35.680669	40.423534	90.174490
frame83.png	-0.038659	-1.677977	-0.564020	-17.780954	8.461708	-83.005730	2.369691	-0.599251	2.034796	1.056380	183.707984	53.568362	31.709992	172.839609	-0.637909	0.356819	0.492360	35.787408	40.171700	89.833879
frame89.png	-0.017704	-1.682134	-0.657667	-16.559736	9.433532	-81.869257	2.409072	-0.632546	2.028971	1.134366	182.555975	53.986796	31.666533	171.491518	-0.650250	0.346837	0.476698	37.427060	41.100065	89.622261
frame94.png	-0.000816	-1.634930	-0.762799	-14.993854	10.109172	-79.745192	2.413489	-0.666651	1.973829	1.218404	179.862082	52.272894	31.271485	169.233588	-0.667467	0.338899	0.455604	37.279041	41.380657	89.488396
frame100.png	0.033143	-1.625036	-0.858128	-13.377676	10.853822	-78.027330	2.443995	-0.717733	1.945321	1.293716	178.269962	51.216606	29.951434	168.106961	-0.684590	0.320285	0.435588	37.838931	40.805255	90.079631
frame105.png	-0.004301	-1.620406	-0.876412	-14.177139	11.827358	-79.223678	2.421558	-0.699112	1.928080	1.287515	179.923511	52.904442	28.936224	169.517800	-0.703413	0.307674	0.411103	38.727303	40.763582	90.294122
frame111.png	-0.012532	-1.637543	-1.007678	-13.388381	13.139885	-77.639195	2.496523	-0.716837	1.939619	1.398803	177.584635	51.899811	26.565452	167.740839	-0.729368	0.302076	0.391125	38.511430	39.705336	90.101644
frame116.png	0.023318	-1.648204	-1.070090	-12.414929	13.180135	-76.759478	2.537107	-0.785987	1.933343	1.442679	176.227290	50.646778	25.251022	166.893222	-0.762670	0.285140	0.372588	38.231849	38.431157	90.133744
frame122.png	0.062877	-1.667472	-1.157342	-10.679757	14.057837	-75.535464	2.606184	-0.863139	1.935167	1.517339	174.427088	48.571152	24.399811	165.741671	-0.800262	0.267694	0.359998	37.891394	38.457648	90.206207
frame127.png	0.043081	-1.664310	-1.228180	-10.273213	15.051309	-75.118963	2.634426	-0.868697	1.919658	1.581289	173.596392	47.007000	22.764211	165.553133	-0.825616	0.255348	0.353109	36.733787	37.815520	90.434170
frame133.png	-0.517266	-1.605732	-1.691707	-18.659227	21.276336	-68.179362	2.763074	-0.340280	1.843240	2.030088	168.903276	55.089692	15.385452	158.923662	-0.857546	0.237507	0.338381	36.430465	36.661788	90.744300
frame139.png	-0.948524	-0.491137	-1.632558	-22.470344	33.050539	-44.543267	1.821762	0.090106	0.327400	1.789834	161.957684	14.195772	-3.306325	161.300464	-0.858418	-0.163737	0.157276	351.725428	29.744214	116.757197
frame144.png	-0.959772	-0.539722	-1.564080	-22.098487	34.377833	-46.319591	1.866408	0.145450	0.457456	1.803623	159.430935	18.114959	-5.365103	158.307571	-0.814322	-0.082266	0.239543	356.016472	29.012730	111.987979
frame150.png	-0.967490	-0.542924	-1.537340	-21.038931	35.886256	-46.415202	1.813977	0.131183	0.433336	1.756566	160.415019	14.332275	-6.383195	159.645917	-0.836307	-0.109588	0.219226	353.293344	29.503061	113.230715
frame155.png	-0.872823	-0.626089	-1.354082	-22.406901	32.887675	-50.055157	1.682611	0.056337	0.541835	1.591986	163.132252	18.360001	-3.847669	162.050108	-0.816486	-0.084254	0.237905	355.953100	29.040006	111.994951
frame161.png	-0.822064	-0.676941	-1.293778	-22.806706	32.022944	-50.871454	1.675749	0.034346	0.628608	1.552999	164.689485	19.203863	-1.416770	163.559870	-0.787718	-0.048334	0.259222	356.397157	30.606173	112.688416
frame166.png	-0.444922	-0.852193	-1.093692	-15.307941	24.324894	-55.100045	1.625372	-0.331789	0.833958	1.355088	168.511766	11.417694	6.497215	167.998922	-0.776711	-0.018235	0.261396	356.109754	30.822108	112.898877
frame172.png	-0.135513	-1.060791	-1.087446	-9.625490	18.857695	-57.466933	1.849028	-0.625473	1.078784	1.365252	172.075822	5.167704	11.835956	171.590482	-0.760986	0.017993	0.277806	355.542214	30.693651	114.123549
frame178.png	-0.092573	-1.044172	-1.106516	-8.038289	17.939042	-55.523708	1.887356	-0.657131	1.081901	1.399921	169.265631	4.209106	12.082110	168.781397	-0.749704	0.037730	0.293405	356.170817	30.021152	113.257689
frame183.png	-0.097447	-0.976406	-1.013402	-7.561682	17.569472	-55.803721	1.787431	-0.632269	1.027515	1.318848	169.546067	6.357092	12.060873	168.997017	-0.729717	0.051109	0.305446	358.795409	29.630344	113.193296
frame194.png	0.008831	-1.186086	-0.523382	-9.283379	15.892185	-69.680165	1.808019	-0.574899	1.393254	0.998632	177.305627	22.661446	20.612890	174.639208	-0.566068	0.207168	0.475251	13.378067	36.505075	104.959042
frame200.png	-0.001313	-1.236549	-0.505762	-10.941175	14.767071	-71.760216	1.862346	-0.535425	1.466533	1.015350	176.554010	29.817752	21.213430	172.720035	-0.536739	0.229984	0.509588	18.876577	35.980501	100.959819
frame211.png	-0.095148	-1.254866	-0.534096	-13.484772	16.987683	-74.730425	1.924503	-0.437394	1.528299	1.084758	172.314066	48.882533	20.440433	163.965923	-0.532542	0.273434	0.550662	35.397762	37.428116	89.235498
frame216.png	-0.100306	-1.279574	-0.533820	-13.778309	16.761313	-75.441134	1.960325	-0.439962	1.571027	1.086822	172.597772	49.619119	20.525333	164.032450	-0.540268	0.291453	0.553002	35.840810	37.286646	88.591315
frame222.png	-0.087744	-1.252501	-0.610469	-12.108511	20.365743	-74.490176	1.992421	-0.460225	1.550030	1.164192	171.106649	48.785782	16.785988	163.143077	-0.547969	0.297529	0.553723	36.677271	37.151731	88.652901
frame239.png	-0.195676	-1.306295	-0.705418	-9.008804	37.414979	-78.462683	2.056917	-0.394979	1.582570	1.253145	165.362667	40.181138	-17.433078	159.456501	-0.590655	0.276275	0.547728	31.172334	19.981901	80.993818
frame244.png	-0.243808	-1.345784	-0.701246	-7.093785	44.169579	-80.665688	2.069131	-0.348028	1.606465	1.256761	166.974663	39.929691	-27.954115	159.701989	-0.591836	0.260681	0.555515	32.835906	16.215464	79.036301
frame261.png	-0.329765	-1.396565	-0.703470	-7.468918	55.880677	-88.864404	2.101503	-0.287631	1.608155	1.321901	172.942159	39.355772	-57.302371	158.355776	-0.617396	0.211590	0.618431	31.886854	-1.421694	69.491373
frame267.png	-0.439533	-1.464918	-0.666804	-11.982976	61.469999	-94.719919	2.112102	-0.187129	1.642090	1.315103	180.637146	43.044823	-67.408656	161.966030	-0.626662	0.177172	0.648299	31.061846	-5.938657	67.246110
frame272.png	-0.618684	-1.506356	-0.678580	-16.947662	64.527589	-96.019744	2.143059	-0.017380	1.657258	1.358638	182.856151	46.444599	-73.666552	160.787159	-0.636064	0.150902	0.680058	29.496936	-9.138962	64.767415
frame278.png	-0.789464	-1.652045	-0.605687	-32.059919	73.511168	-113.249368	2.233308	0.156073	1.785629	1.332229	202.567866	57.621234	-85.618239	174.307346	-0.633392	0.133584	0.726542	25.561315	-12.107071	61.057979
frame283.png	-1.157115	-1.602238	-0.395255	-75.548088	76.304439	-150.117859	2.136925	0.517125	1.718855	1.159553	203.822126	95.967679	-94.685439	-152.867038	-0.639990	0.116618	0.764299	20.419592	-18.380999	57.015102
frame289.png	-1.307633	-1.636492	-0.384085	-107.133445	77.942827	179.462172	2.207814	0.680197	1.740542	1.175706	202.782527	122.158981	-100.575701	-126.816659	-0.627436	0.104050	0.791621	15.025537	-22.632875	52.645513
frame294.png	-1.261368	-1.581014	-0.161615	-117.728671	73.456981	167.195740	2.029957	0.635047	1.659763	0.981137	200.882437	127.402262	-100.927327	-118.051226	-0.626320	0.078748	0.819522	9.673591	-27.470346	49.144514
frame300.png	-1.419658	-1.773826	0.017551	-130.949252	67.133729	153.753938	2.173682	0.796040	1.844655	0.829735	198.180757	137.146636	-95.574947	-106.451126	-0.623618	0.070829	0.847285	6.197383	-28.441218	47.302812
frame306.png	-1.554068	-1.793721	0.230112	-137.111517	61.605852	150.276477	2.184207	0.952904	1.851240	0.660032	199.095314	139.323971	-92.003478	-108.457988	-0.601164	0.057519	0.890144	2.212454	-30.397627	41.818488
frame311.png	-1.660568	-1.259746	0.182451	-154.340236	61.851213	144.144159	1.912757	1.129133	1.319817	0.801114	208.931310	147.944818	-92.809014	-114.678288	-0.531435	0.060070	0.983565	353.604583	-30.957801	29.465871
frame317.png	-1.708701	-1.159292	0.782685	-147.109962	46.042173	155.804632	1.692033	1.158634	1.220453	0.176170	202.890675	142.678531	-76.482550	-122.302422	-0.550066	0.061161	0.958855	355.568568	-30.440376	33.502210
frame322.png	-1.607725	-1.651828	0.493894	-148.855171	53.191339	139.530705	2.082647	1.077097	1.713033	0.492747	198.805353	142.431402	-84.047692	-110.330637	-0.530628	0.061205	0.986642	353.576231	-30.856353	29.200068
frame328.png	-1.723478	-1.624719	1.030418	-143.708948	43.683716	149.347656	2.078900	1.217226	1.685184	-0.018445	197.676586	136.793248	-75.444840	-121.126859	-0.506252	0.060464	1.011973	353.084300	-31.761123	28.220797
frame333.png	-1.656894	-1.808066	0.972846	-143.119346	44.262501	145.569738	2.199754	1.169824	1.861613	0.069448	195.156794	134.760456	-75.571473	-119.225610	-0.487070	0.053547	1.042294	351.641110	-31.308972	26.344128
frame339.png	-1.854052	-1.145705	0.914979	-155.444963	44.269123	149.661976	1.832950	1.381082	1.195241	0.154004	205.803642	146.331722	-74.769205	-123.902107	-0.472970	0.049536	1.068983	350.886759	-30.500082	25.759870
frame344.png	-1.686049	-1.263353	0.590531	-157.271673	52.531856	140.235845	1.852870	1.216538	1.302807	0.505825	203.149586	143.514951	-81.990929	-118.113084	-0.469511	0.039453	1.096355	346.243278	-29.459073	22.122761
