# CoordinateSystem: LOCAL_CS["Local Coordinates (m)",LOCAL_DATUM["Local Datum",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]]]
#Label	X	Y	Z	Yaw	Pitch	Roll	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Yaw_error	Pitch_error	Roll_error	X_est	Y_est	Z_est	Yaw_est	Pitch_est	Roll_est
frame1.png	-0.171965	-1.334432	-0.242013	0.048382	-1.137400	-79.375797	0.366057	-0.036530	0.248760	0.266048	250.628824	178.975977	2.296222	-175.434132	-0.208496	-1.085672	0.024035	179.024359	1.158822	105.190072
frame3.png	-0.181269	-1.337996	-0.247856	2.252495	-1.572516	-79.086407	0.371931	-0.027227	0.252323	0.271891	249.267951	176.771871	2.731376	-175.723522	-0.208496	-1.085672	0.024035	179.024367	1.158861	105.190071
frame5.png	-0.234280	-1.350516	-0.261367	11.352014	-4.226153	-79.863952	0.392019	0.028426	0.265342	0.287166	238.260178	167.499481	5.663173	-169.351011	-0.205855	-1.085174	0.025799	178.851495	1.437020	110.785037
frame7.png	-0.299299	-1.337657	-0.256754	13.219831	-4.576186	-77.580023	0.397677	0.095006	0.253419	0.291375	233.259175	164.491329	6.642303	-165.252308	-0.204292	-1.084238	0.034620	177.711160	2.066118	117.167670
frame9.png	-0.332850	-1.328655	-0.248169	14.449689	-3.974414	-76.250605	0.399159	0.128659	0.243560	0.288883	231.262562	161.806245	4.234575	-165.176209	-0.204191	-1.085094	0.040714	176.255934	0.260160	118.573185
frame12.png	-0.340185	-1.296177	-0.245299	7.161311	-2.117909	-75.782561	0.381551	0.133211	0.210333	0.289130	239.953208	168.715067	1.382193	-170.619043	-0.206974	-1.085844	0.043831	175.876378	-0.735716	113.598397
frame14.png	-0.343060	-1.277654	-0.252423	3.852874	-1.997567	-76.534261	0.378499	0.134057	0.192271	0.297190	244.451854	172.599557	2.161056	-173.093708	-0.209003	-1.085383	0.044767	176.452431	0.163489	110.372031
frame16.png	-0.328014	-1.253658	-0.252712	-4.355406	-0.631172	-77.184469	0.359880	0.113696	0.169124	0.296621	249.543859	-177.493325	2.318329	175.393507	-0.214318	-1.084534	0.043909	178.151269	1.687158	98.209039
frame18.png	-0.325636	-1.241271	-0.252226	-7.739867	-0.156712	-78.184645	0.353063	0.111318	0.156737	0.296134	247.854858	-174.108874	1.843868	176.393681	-0.214318	-1.084534	0.043909	178.151259	1.687156	98.209036
frame20.png	-0.330346	-1.235245	-0.248035	-8.943877	0.784353	-78.863362	0.348471	0.114853	0.150485	0.292567	245.252964	-171.972492	0.687566	174.854241	-0.215493	-1.084760	0.044531	179.083631	1.471918	95.990878
frame23.png	-0.355672	-1.232139	-0.239366	-4.153527	-0.168817	-78.713684	0.349849	0.139453	0.146425	0.285494	247.633047	-176.346805	1.128163	173.846650	-0.216219	-1.085714	0.046129	179.499668	0.959346	95.132966
frame25.png	-0.374760	-1.231428	-0.235552	0.717874	-0.744841	-77.841306	0.357745	0.159729	0.145200	0.285281	252.349668	178.096100	1.465675	-178.773560	-0.215031	-1.086228	0.049730	178.813974	0.720834	103.385135
frame27.png	-0.398464	-1.247720	-0.236141	9.481016	-3.487431	-78.118178	0.377415	0.183734	0.161019	0.287675	243.155732	168.727354	4.177142	-175.038115	-0.214730	-1.086701	0.051533	178.208370	0.689712	106.843707
frame29.png	-0.429862	-1.264950	-0.245262	19.765031	-5.578819	-79.193593	0.413174	0.219974	0.178746	0.300623	225.396292	158.428866	7.200416	-160.162221	-0.209888	-1.086204	0.055362	178.193897	1.621597	120.644187
frame32.png	-0.361890	-1.208861	-0.229868	2.796663	-1.933440	-78.026560	0.340001	0.146338	0.121975	0.281616	245.187149	175.987900	2.539830	-170.700165	-0.215552	-1.086886	0.051748	178.784563	0.606390	111.273275
frame34.png	-0.345548	-1.215163	-0.233850	7.074199	-3.089942	-77.151402	0.335172	0.126264	0.128447	0.282665	245.969161	171.020249	4.611441	-176.724750	-0.219283	-1.086716	0.048814	178.094448	1.521498	106.123847
frame36.png	-0.310822	-1.222248	-0.243227	9.184431	-3.402369	-78.405137	0.331934	0.093019	0.136255	0.288032	238.490769	168.673725	4.125081	-168.552677	-0.217803	-1.085994	0.044805	177.858156	0.722712	113.042186
frame38.png	-0.288680	-1.223479	-0.244326	8.545179	-3.537483	-78.990203	0.325526	0.070910	0.138246	0.286054	238.486710	170.205383	5.458105	-166.961814	-0.217770	-1.085232	0.041729	178.750562	1.920622	114.047982
frame40.png	-0.264611	-1.219706	-0.239428	6.988870	-3.113556	-79.107011	0.310810	0.045085	0.133831	0.276875	241.524874	172.178058	4.990362	-169.304688	-0.219526	-1.085875	0.037447	179.166927	1.876806	111.588300
frame43.png	-0.235941	-1.212725	-0.231419	5.418420	-2.677648	-78.434519	0.295395	0.015110	0.126147	0.266677	243.526032	173.434990	4.300831	-170.899782	-0.220831	-1.086578	0.035259	178.853410	1.623183	110.665699
frame45.png	-0.221499	-1.209322	-0.231749	4.956201	-2.595587	-78.205553	0.291380	-0.000808	0.122666	0.264301	244.538444	173.520937	4.089996	-172.257967	-0.222306	-1.086657	0.032552	178.477138	1.494409	109.536480
frame47.png	-0.186137	-1.201582	-0.232803	1.821635	-1.525777	-77.966985	0.289760	-0.037104	0.114974	0.263372	248.166778	176.687966	2.563686	-174.245631	-0.223241	-1.086607	0.030569	178.509601	1.037909	107.787384
frame49.png	-0.162168	-1.198783	-0.236405	0.923957	-1.788344	-77.792105	0.293115	-0.062703	0.112722	0.263208	250.260426	177.435238	3.110291	-176.457767	-0.224872	-1.086061	0.026803	178.359194	1.321947	105.750129
frame52.png	-0.137308	-1.209652	-0.238231	7.016832	-2.760909	-76.909942	0.302151	-0.087312	0.123720	0.261468	242.350668	170.466935	3.550875	-172.227355	-0.224620	-1.085932	0.023237	177.483768	0.789966	110.862703
frame54.png	-0.120210	-1.213258	-0.240033	7.455412	-3.260082	-77.123998	0.308446	-0.104329	0.127419	0.260804	240.823750	169.737470	4.252489	-170.784034	-0.224539	-1.085839	0.020772	177.192882	0.992407	112.091969
frame56.png	-0.104964	-1.214748	-0.239860	7.237272	-2.925507	-77.717092	0.313515	-0.119606	0.128944	0.259537	240.555749	170.082235	4.125327	-170.064939	-0.224569	-1.085804	0.019677	177.319508	1.199820	112.217969
frame58.png	-0.081839	-1.213650	-0.240932	6.644286	-2.485541	-77.970697	0.322025	-0.143040	0.127812	0.258657	241.440836	171.318845	3.642840	-170.088978	-0.224879	-1.085838	0.017726	177.963131	1.157299	111.940325
frame60.png	-0.063710	-1.214269	-0.241810	5.945476	-2.781464	-78.267126	0.328111	-0.162425	0.128619	0.254424	243.009549	172.554215	4.280779	-171.056596	-0.226135	-1.085650	0.012614	178.499690	1.499315	110.676278
frame63.png	-0.032750	-1.223229	-0.241460	4.494824	-2.312705	-77.668571	0.346991	-0.193564	0.137525	0.253026	244.696930	173.978839	3.844608	-172.026655	-0.226314	-1.085704	0.011566	178.473663	1.531904	110.304774
frame65.png	-0.013282	-1.224595	-0.254601	3.529513	-2.781972	-77.881356	0.364635	-0.212869	0.140283	0.260702	246.337429	174.542905	4.676225	-173.767189	-0.226151	-1.084312	0.006102	178.072418	1.894253	108.351455
frame67.png	-0.004120	-1.221688	-0.277478	3.464091	-1.663778	-77.868251	0.385471	-0.222031	0.137376	0.283580	246.374345	174.608327	3.558029	-173.780294	-0.226151	-1.084312	0.006102	178.072418	1.894251	108.351455
frame69.png	0.001039	-1.222897	-0.277854	4.206327	-0.699779	-77.059061	0.389363	-0.227399	0.141367	0.282681	246.823312	174.212417	1.581712	-174.840725	-0.226359	-1.081530	0.004827	178.418744	0.881933	108.100214
frame71.png	0.010875	-1.224348	-0.276115	4.866213	-1.890153	-76.339087	0.393970	-0.237201	0.142871	0.280243	246.172153	173.097618	1.464929	-175.030848	-0.226325	-1.081477	0.004128	177.963831	-0.425224	108.630065
frame74.png	-0.004344	-1.224521	-0.269559	9.483659	-3.458035	-75.330525	0.379789	-0.221283	0.142748	0.273673	239.561036	166.684462	3.845235	-172.020331	-0.225627	-1.081774	0.004114	176.168122	0.387200	112.649144
frame76.png	0.003604	-1.173623	-0.254890	6.476882	-2.369033	-74.241549	0.358477	-0.229670	0.091253	0.259673	240.857240	169.154969	2.598151	-171.441115	-0.226066	-1.082371	0.004783	175.631851	0.229118	114.317336
frame78.png	0.011826	-1.150678	-0.250095	5.898451	-2.602732	-75.072894	0.360204	-0.244752	0.067629	0.255478	242.376377	168.982781	2.232430	-173.741601	-0.232926	-1.083049	0.005384	174.881232	-0.370302	111.185505
frame80.png	0.022069	-1.125045	-0.248659	3.910555	-2.289918	-76.627982	0.366571	-0.261534	0.042275	0.253351	245.983232	173.115606	3.282597	-174.722528	-0.239466	-1.082770	0.004691	177.026161	0.992679	108.649490
frame83.png	0.033358	-1.078179	-0.242377	6.438521	-2.452766	-78.730201	0.374357	-0.280607	-0.004977	0.247746	240.604558	172.180527	4.277549	-168.006316	-0.247250	-1.083156	0.005370	178.619048	1.824783	113.263482
frame85.png	0.031842	-1.066549	-0.234723	8.518703	-3.498755	-78.673500	0.368528	-0.279092	-0.016607	0.240093	239.181230	170.100383	5.323538	-168.063026	-0.247250	-1.083156	0.005370	178.619086	1.824783	113.263474
frame87.png	0.016784	-1.068896	-0.233106	9.502002	-3.687520	-79.003035	0.356809	-0.263333	-0.014478	0.240331	237.750222	169.348000	5.615766	-166.777954	-0.246549	-1.083374	0.007225	178.850002	1.928246	114.219012
frame89.png	-0.021398	-1.064200	-0.229792	11.036913	-3.430141	-79.266627	0.330645	-0.224696	-0.019410	0.241788	235.695683	168.173456	4.915813	-165.063558	-0.246094	-1.083610	0.011996	179.210368	1.485671	115.669814
frame91.png	-0.029809	-1.052716	-0.219186	6.982481	-1.546211	-77.691257	0.320253	-0.217669	-0.031999	0.232720	242.075103	171.385770	1.519021	-170.953111	-0.247478	-1.084715	0.013533	178.368251	-0.027190	111.355632
frame94.png	-0.061633	-1.055828	-0.232887	6.854045	-4.010293	-78.131013	0.311886	-0.184186	-0.027165	0.250221	241.358671	171.037266	6.419953	-170.173575	-0.245820	-1.082993	0.017333	177.891311	2.409660	111.695412
frame96.png	-0.101152	-1.063434	-0.234602	11.958111	-4.067803	-79.009913	0.294003	-0.142493	-0.019464	0.256427	234.205790	166.766600	5.798483	-164.339985	-0.243645	-1.082898	0.021825	178.724710	1.730680	116.650102
frame98.png	-0.121442	-1.070057	-0.233372	12.005949	-3.430370	-78.802106	0.285720	-0.120026	-0.012997	0.258961	234.673026	166.407384	4.916502	-165.396009	-0.241469	-1.083053	0.025590	178.413333	1.486132	115.801885
frame100.png	-0.141325	-1.075525	-0.234913	10.535448	-3.950353	-78.714854	0.279801	-0.099665	-0.007526	0.261340	236.224995	167.929843	5.727752	-166.039179	-0.240990	-1.083051	0.026428	178.465291	1.777399	115.245967
frame103.png	-0.178496	-1.069376	-0.232478	7.690991	-2.672897	-78.352686	0.271911	-0.062118	-0.013898	0.264355	241.441411	170.838763	3.502137	-170.574931	-0.240614	-1.083274	0.031877	178.529754	0.829240	111.072383
frame105.png	-0.215103	-1.077835	-0.236926	9.535267	-3.827166	-78.612853	0.273397	-0.023374	-0.004942	0.272351	237.665500	168.862221	5.645411	-167.148345	-0.238477	-1.082777	0.035425	178.397488	1.818245	114.238802
frame107.png	-0.253603	-1.082464	-0.236503	11.663361	-3.602383	-78.995930	0.277028	0.016814	-0.000417	0.276517	234.792029	167.201314	4.937815	-164.762361	-0.236789	-1.082881	0.040014	178.864675	1.335432	116.241709
frame109.png	-0.294177	-1.091721	-0.237217	13.073097	-4.257881	-78.472733	0.286009	0.058870	0.008809	0.279746	232.704196	165.198522	6.100003	-163.778758	-0.235307	-1.082912	0.042529	178.271619	1.842122	117.748509
frame111.png	-0.328462	-1.066336	-0.237718	3.311536	-3.621097	-77.065827	0.298222	0.091972	-0.016818	0.283187	245.381830	174.314271	4.394405	-172.648391	-0.236490	-1.083154	0.045469	177.625807	0.773308	110.285782
frame114.png	-0.411570	-1.045081	-0.233350	3.340230	-4.014546	-76.974253	0.341786	0.174991	-0.036643	0.291296	246.794920	173.516916	7.361124	-175.343738	-0.236579	-1.081724	0.057946	176.857146	3.346578	107.682009
frame116.png	-0.451214	-1.039433	-0.225137	5.949208	-3.251873	-77.428095	0.361753	0.214336	-0.043554	0.288146	243.821385	171.033232	5.150997	-173.695045	-0.236878	-1.082986	0.063009	176.982441	1.899123	108.876860
frame118.png	-0.485554	-1.035632	-0.224326	8.120307	-2.636267	-78.572689	0.390530	0.249812	-0.047698	0.296365	239.610985	171.075562	3.566837	-167.731493	-0.235742	-1.083330	0.072039	179.195869	0.930570	113.695818
frame120.png	-0.513817	-1.029642	-0.221886	10.042094	-2.843476	-79.080905	0.408166	0.278075	-0.053688	0.293925	237.888362	169.153789	3.774044	-167.223280	-0.235742	-1.083330	0.072039	179.195883	0.930568	113.695815
frame122.png	-0.556233	-1.034608	-0.222442	12.057002	-3.798196	-79.080081	0.440717	0.320771	-0.049068	0.298211	235.199185	166.960908	4.958691	-165.584188	-0.235462	-1.083677	0.075769	179.017910	1.160496	115.335731
frame125.png	-0.588563	-1.024630	-0.213680	9.387320	-1.883029	-78.415213	0.467405	0.355919	-0.059587	0.297049	236.663457	169.725278	2.538477	-164.913548	-0.232644	-1.084216	0.083369	179.112598	0.655448	116.671239
frame127.png	-0.574514	-0.995917	-0.208766	6.469300	-2.648721	-77.263983	0.454657	0.337568	-0.088634	0.291385	242.535361	171.784951	2.685269	-171.190307	-0.236945	-1.084551	0.082619	178.254251	0.036548	111.545711
frame129.png	-0.569587	-0.973935	-0.202688	6.685881	-2.938509	-76.911204	0.450091	0.329955	-0.110433	0.285511	242.448722	170.753450	4.044451	-172.070580	-0.239632	-1.084367	0.082823	177.439331	1.105942	111.018217
frame131.png	-0.563626	-0.957763	-0.200028	6.733702	-3.007106	-77.304005	0.445980	0.321108	-0.126702	0.282372	241.625253	170.441516	4.069504	-171.218841	-0.242518	-1.084464	0.082344	177.175218	1.062397	111.477154
frame134.png	-0.565919	-0.946495	-0.201512	10.180482	-3.172789	-78.055569	0.450284	0.320914	-0.137913	0.284165	239.345892	168.142941	4.186326	-170.284709	-0.245005	-1.084408	0.082654	178.323422	1.013538	111.659721
frame136.png	-0.558794	-0.935226	-0.200969	10.647469	-3.558282	-78.153205	0.447991	0.313202	-0.148866	0.283618	236.506177	167.558772	4.445540	-166.851631	-0.245592	-1.084093	0.082648	178.206242	0.887258	114.995164
frame138.png	-0.555995	-0.922775	-0.197623	10.988411	-3.580477	-78.286300	0.445868	0.307022	-0.161388	0.280161	235.499255	167.208526	4.838096	-165.764292	-0.248973	-1.084163	0.082538	178.196937	1.257619	115.949408
frame140.png	-0.542108	-0.924039	-0.196926	18.769767	-4.576622	-78.439104	0.436512	0.294721	-0.160007	0.279427	225.408686	159.145145	5.916723	-159.520816	-0.247387	-1.084046	0.082501	177.914911	1.340102	122.040080
frame142.png	-0.510491	-0.906037	-0.192765	14.608200	-4.325296	-78.483469	0.411319	0.256333	-0.178458	0.267636	234.035597	163.160653	5.387377	-167.696864	-0.254158	-1.084495	0.074871	177.768852	1.062081	113.819667
frame145.png	-0.462661	-0.881277	-0.185678	2.273901	-1.683775	-77.005332	0.389188	0.207191	-0.203268	0.259271	245.703783	175.224996	2.681770	-172.218924	-0.255470	-1.084546	0.073593	177.498896	0.997995	110.775744
frame147.png	-0.444158	-0.875765	-0.185401	-2.931448	-0.425901	-77.622205	0.378703	0.186567	-0.208567	0.255163	253.198449	-178.994715	1.213027	179.077846	-0.257591	-1.084332	0.069762	178.073837	0.787127	101.455641
